URL;ID;Name;Subtitle;Icon_URL;Average_User_Rating;User_Rating_Count;Price;Developer;Age_Rating;Languages;Size;Primary_Genre;Genres;Original_Release_Date;Current_Version_Release_Date
https//apps.apple.com/us/app/cutie-critters/id1363791988;1363791988;Cutie Critters;Match 4 Fun Puzzle Game.;https//is1-ssl.mzstatic.com/image/thumb/Purple118/v4/61/45/b6/6145b640-ed22-8fee-fa77-857d8825f8f0/source/512x512bb.jpg;;;0;Jonathan Roberts;4+;EN, HU;27767808;Games;Games, Puzzle, Strategy, Entertainment;22/04/2018;11/05/2018
https//apps.apple.com/us/app/angry-apple-jump/id1363852456;1363852456;Angry Apple Jump;;https//is4-ssl.mzstatic.com/image/thumb/Purple118/v4/cc/31/f9/cc31f97d-2837-e189-bfab-01df890d9ac5/source/512x512bb.jpg;;;0;Muhammad Zeeshan Munawar;4+;EN;85164032;Games;Games, Strategy, Casual, Entertainment;22/04/2018;22/04/2018
https//apps.apple.com/us/app/bottle-shoot-archery-games/id1363857211;1363857211;Bottle Shoot Archery Games;;https//is2-ssl.mzstatic.com/image/thumb/Purple118/v4/cf/15/2b/cf152bc7-8317-ba38-1373-cc0c9b876543/source/512x512bb.jpg;;;0;Mohd Ajmal;4+;EN;135564288;Games;Games, Strategy;22/04/2018;22/04/2018
https//apps.apple.com/us/app/numra/id1363861351;1363861351;Numra;Are You Smarter Than a Robot?;https//is1-ssl.mzstatic.com/image/thumb/Purple114/v4/dc/19/60/dc1960dd-fe95-eb31-c9f1-e2856de63d9a/source/512x512bb.jpg;;;0;Universal Rights Ltd;4+;EN;20854784;Games;Games, Education, Strategy, Puzzle;29/03/2018;16/01/2019
https//apps.apple.com/us/app/battlefield-mission/id1363874994;1363874994;Battlefield Mission;Battlefield Mission;https//is4-ssl.mzstatic.com/image/thumb/Purple114/v4/f8/de/21/f8de2170-eaac-5831-6ba9-02940845fcb1/source/512x512bb.jpg;4;8;0;ACE HAND INTERACTIVE TECHNOLOGY HOLDINGS CO., LIMITED;12+;AR, EN, ZH, ZH;326992896;Games;Games, Strategy, Adventure;01/09/2018;17/01/2019
https//apps.apple.com/us/app/chess-strategy-board-games/id1363901401;1363901401;Chess u2013 Strategy Board Games;Play chess kings with friends;https//is1-ssl.mzstatic.com/image/thumb/Purple128/v4/f9/b6/82/f9b682a3-79df-b0a2-244f-7dc13f446b57/source/512x512bb.jpg;4.5;947;0;QIU LEI;4+;EN;74012672;Games;Games, Board, Strategy;10/04/2018;28/08/2018
https//apps.apple.com/us/app/opC3A9ration-breizh-cop/id1363909460;1363909460;Opxe9ration Breizh Cop;;https//is4-ssl.mzstatic.com/image/thumb/Purple128/v4/d2/3a/f2/d23af2b3-d75a-dd69-41f9-4c965a405c35/source/512x512bb.jpg;;;0;CCCP;4+;EN;518731776;Games;Games, Strategy, Simulation;22/04/2018;22/04/2018
https//apps.apple.com/us/app/magical-girlfriend/id1363985663;1363985663;Magical Girlfriend;;https//is1-ssl.mzstatic.com/image/thumb/Purple118/v4/5a/aa/2a/5aaa2a46-6133-8cd4-f8f6-e8beb4272c19/source/512x512bb.jpg;;;4.99;chunxia hu;4+;ZH, EN;770333696;Games;Games, Role Playing, Strategy;09/08/2018;10/08/2018
https//apps.apple.com/us/app/polisi-vs-hantu-pocong-defense/id1364007688;1364007688;Polisi vs Hantu Pocong Defense;Polisi vs Hantu Pocong Defense;https//is2-ssl.mzstatic.com/image/thumb/Purple128/v4/a1/57/55/a15755b8-1f4d-170f-996e-d742647c05db/source/512x512bb.jpg;;;0;PT. Global Digital Artha;4+;EN;448239616;Games;Games, Action, Entertainment, Strategy;29/03/2018;29/03/2018
https//apps.apple.com/us/app/wargame-west-front/id1364038405;1364038405;WargameWest Front;West Front 1944-1945;https//is3-ssl.mzstatic.com/image/thumb/Purple113/v4/2d/2e/a6/2d2ea60d-4e39-b228-3d38-0ca74bee06f6/source/512x512bb.jpg;;;4.99;Zihua Huo;12+;EN;125205504;Games;Games, Strategy, Action, Entertainment;03/04/2018;03/05/2019
https//apps.apple.com/us/app/zombie-shoot-off/id1364049077;1364049077;Zombie Shoot Off;zombie apocalypse game;https//is3-ssl.mzstatic.com/image/thumb/Purple118/v4/21/05/5d/21055dce-32d6-b05e-e479-04f47bf2cf73/source/512x512bb.jpg;;;0;Mobitsolutions;12+;EN;111519744;Games;Games, Entertainment, Strategy, Casual;11/04/2018;11/04/2018
https//apps.apple.com/us/app/foxcast-sport-prediction-game/id1364190579;1364190579;FoxCast Sport Prediction Game;Predict events and win!;https//is4-ssl.mzstatic.com/image/thumb/Purple123/v4/10/f4/a5/10f4a544-8488-e5ed-71e6-dfcb975cf59b/source/512x512bb.jpg;;;0;Tigers Agreement GmbH;12+;EN;20686848;Games;Games, Strategy, Simulation, Entertainment;28/03/2018;18/07/2019
https//apps.apple.com/us/app/space-cadet-alpha/id1364238647;1364238647;Space Cadet Alpha;;https//is2-ssl.mzstatic.com/image/thumb/Purple128/v4/44/e9/99/44e999e1-4b2f-c66d-4c34-e0211cf9b5d0/source/512x512bb.jpg;;;0;Angry Chicken Games;9+;EN;32039936;Games;Games, Action, Strategy;28/03/2018;28/03/2018
https//apps.apple.com/us/app/rebirth-king/id1364336249;1364336249;Rebirth King;IDLE RPG;https//is1-ssl.mzstatic.com/image/thumb/Purple124/v4/40/06/ea/4006ea72-c6d3-e93a-d782-51980cdff830/source/512x512bb.jpg;4.5;8;0;ThunderGames;9+;EN, KO;166767616;Games;Games, Role Playing, Strategy;28/07/2018;22/12/2018
https//apps.apple.com/us/app/challenge-tour-puzzle-fixed/id1364349319;1364349319;Challenge Tour - puzzle fixed;One of the best puzzle game!;https//is1-ssl.mzstatic.com/image/thumb/Purple118/v4/b0/59/ed/b059edf9-5668-06a6-d61e-711feab09d32/source/512x512bb.jpg;;;0;Alexandra Dunphy;4+;EN, ZH, ZH;36535296;Games;Games, Entertainment, Puzzle, Strategy;28/03/2018;28/03/2018
https//apps.apple.com/us/app/clash-of-civilizations/id1364362745;1364362745;Clash of Civilizations;War Strategy&Build Game;https//is5-ssl.mzstatic.com/image/thumb/Purple113/v4/39/9c/b4/399cb4b5-f8d6-1be7-cbd4-a83eb3883c40/source/512x512bb.jpg;4.5;258;0;KINGFISH ENTERTAINMENT LIMITED;17+;AR, EN, JA, KO, RU, ZH, ES, TH, ZH;148028416;Games;Games, Strategy, Card, Social Networking;05/06/2018;25/03/2019
https//apps.apple.com/us/app/love-tower/id1364374340;1364374340;Love Tower;;https//is2-ssl.mzstatic.com/image/thumb/Purple128/v4/36/09/9a/36099a74-9fb9-1a63-fda7-97f9cbd04cd7/source/512x512bb.jpg;;;0;SwiftStar;4+;EN, ZH;65009664;Games;Games, Entertainment, Board, Strategy;21/06/2018;22/06/2018
https//apps.apple.com/us/app/galaxy-battleship-conquer/id1364406906;1364406906;Galaxy Battleship Conquer;MMO Strategy Space Battle Game;https//is3-ssl.mzstatic.com/image/thumb/Purple123/v4/7d/02/6a/7d026a11-e3f4-7e0e-1d98-54338ee2b411/source/512x512bb.jpg;4.5;253;0;Bekko.com;12+;AR, EN, FR, DE, ID, IT, JA, KO, MS, PL, PT, RU, ZH, ES, TH, ZH, TR, VI;275156992;Games;Games, Strategy, Simulation;25/05/2018;31/07/2019
https//apps.apple.com/us/app/evergarden/id1364677408;1364677408;Evergarden;A new kind of puzzle game;https//is4-ssl.mzstatic.com/image/thumb/Purple118/v4/5e/ec/46/5eec4643-71c2-ff53-560c-6966bd3dd4d8/source/512x512bb.jpg;4.5;62;4.99;Flippfly, LLC;4+;ZH, EN, FR, DE, IT, JA, KO, PT, RU, ES;179497984;Games;Games, Puzzle, Strategy;16/08/2018;15/11/2018
