ID,Name,Subtitle,Average User Rating,User Rating Count,Price,Age Rating,Languages,Size,Primary Genre,genero_1,genero_2,genero_3,genero_4,Current Version Release Date
1159554605,2048 Elite,,,,0,4+,EN,6194176,Games, Education, Puzzle, Strategy,,29/09/2016
1445079683,2048 Fun Game,Made to have fun,,,0,4+,EN,718848,Games, Strategy, Board,,,1/12/2018
1132149077,2048 Goldies,,5,30,0,4+,EN,6806528,Games, Strategy, Puzzle, Entertainment,,8/07/2016
1445353048,2048 Guns,Best Addicting merge puzzle,4,13,0,12+,EN,307308544,Games, Strategy, Puzzle,,,31/05/2019
1192098173,2048 Legend Master,,,,0,4+,"ZH, DA, NL, EN, FI, FR, DE, EL, IT, JA, KO, MS, NB, PT, RU, ZH, ES, SV, TH, ZH, TR",3866624,Games, Strategy, Puzzle, Entertainment,,6/01/2017
965063325,2048 match,,,,0,4+,EN,3715072,Games, Puzzle, Strategy,,,17/12/2016
1438839392,2048 Monster Mania,Evolve your Monster,,,0,4+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH, VI",95474688,Games, Puzzle, Strategy,,,1/12/2018
1453287639,2048 Plus new,2048 New play,,,0,4+,"EN, ZH, ZH",21270528,Games, Puzzle, Strategy,,,17/02/2019
1091958313,2048 Plus Rush,,,,0,4+,EN,21726208,Games, Puzzle, Strategy,,,17/02/2017
1172315614,2048 Puzzle Mania,,,,0,4+,"AR, BN, BG, CA, HR, CS, DA, NL, EN, FI, FR, DE, EL, GU, HE, HI, HU, ID, IT, JA, KN, KO, MS, MR, NB, FA, PL, PT, RO, RU, SR, ZH, SK, ES, SV, TL, TA, TH, ZH, TR, UK, UR, VI",34617344,Games, Puzzle, Strategy,,,15/11/2016
1219773777,2048 Random Bombs  (classic 3x3 4x4 5x5 2408),,,,0,9+,EN,13842432,Games, Sports, Puzzle, Strategy,,22/05/2017
1249194820,2048 Time Attack,2048,,,0,4+,EN,155501568,Games, Puzzle, Strategy,,,30/06/2017
1129666041,2048 UPNumber Puzzle Game,,,,0,4+,"EN, RU, ZH, ES, ZH",22966272,Games, Entertainment, Puzzle, Strategy,,30/07/2016
1439316386,2048 Jewels,,,,0,4+,EN,73838592,Games, Strategy, Puzzle,,,31/12/2018
1239339491,2048 Number World Adventure,Timeless classic with levels,,,0,4+,EN,44829696,Games, Strategy, Puzzle,,,26/11/2017
1239339491,2048 Number World Adventure,Timeless classic with levels,,,0,4+,EN,44829696,Games, Strategy, Puzzle,,,26/11/2017
1329905618,21 Twigs,something to do with twigs,,,0,4+,EN,61785088,Games, Strategy, Puzzle,,,24/01/2018
1094314911,23 The Game,,,,0,4+,"EN, ZH",4102144,Games, Strategy,,,,7/06/2016
1199080082,2d BasketBall Hoops,,,,0,4+,EN,53317632,Games, Sports, Entertainment, Strategy,,27/01/2017
1462691855,2O,,,,0,4+,EN,12339200,Games, Casual, Strategy,,,1/08/2019
1445851169,3 4 5 or 6 in a row,,,,0.99,4+,EN,3014656,Games, Strategy, Puzzle,,,22/01/2019
1460107878,3 BLOCKS,Try to move 3 blocks together,,,0,4+,EN,23200768,Games, Strategy, Puzzle,,,19/04/2019
1208139827,3 Drops of water,,,,0,4+,"CS, DA, NL, EN, FI, FR, DE, EL, HE, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",36028416,Games, Entertainment, Puzzle, Strategy,,29/06/2019
1385126118,3 in a Line  Premium,3 In A Row meets Tic Tac Toe,,,0.99,4+,EN,5487616,Games, Role Playing, Strategy, Finance,,8/06/2018
1438623432,3 Man Chess,3 player chess- round board,,,2.99,4+,EN,11365376,Games, Board, Strategy,,,4/12/2018
1046483972,3 Shades,,,,0,4+,EN,20113408,Games, Strategy, Puzzle,,,8/05/2017
1396304872,3 Spaceships,Challenge Thinking Speed,,,0,4+,EN,38738944,Games, Action, Strategy, Education,,8/02/2019
1289091961,360 Ball Jump,,,,0,4+,EN,16858112,Games, Strategy, Casual,,,17/10/2017
1281329863,3D Army tank transport,The best cargo plane,,,0,4+,EN,166754304,Games, Entertainment, Strategy, Action,,8/10/2017
1424247179,3D Army US Truck Driver Sim,Army Truck Driver 2018,,,0,4+,EN,219147264,Games, Simulation, Strategy,,,25/08/2018
1213296835,3D Ball RunBalance Roller,,,,0,4+,"EN, ZH",10511360,Games, Strategy, Puzzle,,,10/03/2017
1146532106,3D Basketball practice and shot techniques,,5,27,0,4+,EN,108393472,Games, Entertainment, Adventure, Strategy,,7/10/2016
1193516501,3D Billiards Snooker Pool,,,,0,4+,EN,172735488,Games, Sports, Entertainment, Strategy,,12/04/2017
1296556665,3D Bloxorz,,,,0,4+,EN,84405248,Games, Puzzle, Strategy,,,3/11/2017
1464491136,3D Bottle Break  Shooing Game,Shoot to kill mobile games,,,0,12+,"EN, ZH, ZH",30654464,Games, Entertainment, Action, Strategy,,25/05/2019
1214882891,3D Boxing Punch Pro Ultimate Iron Fist,,,,1.99,9+,EN,94209024,Games, Strategy, Action, Sports,,17/03/2017
1282303491,3D Bus Garage Repairing Game,Best Bus Workshop Game,,,0,4+,EN,130714624,Games, Entertainment, Adventure, Strategy,,13/10/2017
1112286228,3D Checkers Game,,4.5,94,0,12+,EN,10875904,Games, Board, Strategy,,,5/06/2018
1408431713,3D Commando Sniper Hunter Surv,3D Commando Sniper Hunter Surv,4,12,0,17+,EN,191031296,Games, Action, Entertainment, Strategy,,6/10/2018
1281211878,3D Farm Tractor Transport,Best Farm Tractor Driver Game,,,0,4+,EN,165898240,Games, Strategy, Entertainment, Adventure,,15/10/2017
1399420163,3D Glamour Crush (WC 2018),Brand new glamorous puzzle,,,0,4+,EN,1219084288,Games, Social Networking, Puzzle, Strategy,,12/12/2018
1130325191,3D Maze,,2,6,0,4+,EN,67535872,Games, Puzzle, Entertainment, Strategy,,8/07/2016
1258078035,3D Military Jeep Parking Simulator Game,,,,0,17+,EN,121356288,Games, Simulation, Strategy, Music,,28/07/2017
1317617167,3D Mill,A fun game for iMessage,,,0,4+,EN,26024960,Games, Strategy, Board,,,28/07/2018
1334362834,3D Rubik's Cube  Rubik Solver,How To Solve a Rubik's Cube,2,19,0,4+,EN,89794560,Games, Simulation, Strategy,,,15/07/2018
1091530650,3D Zombie War,,,,0,12+,EN,54198272,Games, Strategy, Role Playing,,,24/03/2016
1223326763,3DTD Chicka Invasion,Fantastic 3D AR Tower Defense,4.5,37,0,4+,"ZH, EN, FR, RU, ZH, ES, ZH",208935936,Games, Strategy, Adventure, Entertainment,,5/11/2018
1224352440,3Set Logic,,,,0,4+,EN,33913856,Games, Strategy,,,,8/05/2017
1448493798,3T Minimal,Tic Tac Toe,,,0,4+,EN,24420352,Games, Entertainment, Strategy,,,6/01/2019
1050809211,3volve,Swipe- Merge- Evolve,4.5,145,0,4+,"EN, FR, DE, IT, NB, ES",97476608,Games, Entertainment, Puzzle, Strategy,,7/03/2018
1332494864,3x3 Rubik's Cube Solver,Rubik's Cube Solver Game ,2,23,0,4+,EN,56676352,Games, Strategy, Simulation, Entertainment,,14/07/2018
