ID;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
1154279612;208144384; Strategy; Action; Entertainment;03/11/2016;12/02/2017
1154361480;146461696; Strategy; Puzzle; Education;19/09/2016;19/12/2018
1154395075;458624000; Puzzle; Strategy;;27/10/2016;05/06/2017
1154406242;222770176; Sports; Entertainment; Strategy;16/03/2017;08/05/2019
1154408741;47426560; Strategy; Casual; Entertainment;19/09/2016;03/11/2017
1154467411;256741376; Education; Strategy; Board;27/10/2016;11/09/2018
1154479280;27332608; Strategy; Trivia;;20/09/2016;20/09/2016
1154509506;125430784; Casual; Strategy; Entertainment;20/09/2016;26/12/2016
1154755528;142413824; Puzzle; Education; Strategy;21/09/2016;17/04/2017
1154845590;122232832; Strategy; Simulation;;20/09/2016;15/03/2017
1154845594;122232832; Strategy; Simulation;;20/09/2016;15/03/2017
1154862738;15613952; Puzzle; Strategy;;13/10/2016;13/10/2016
1154870650;53444608; Entertainment; Strategy;;06/11/2016;06/11/2016
1154891230;402073600; Simulation; Strategy;;26/04/2017;20/01/2019
1155024198;72609792; Puzzle; Strategy; Entertainment;06/04/2017;23/08/2017
1155115661;16503808; Strategy; Trivia; Entertainment;20/09/2016;20/09/2016
1155167922;16922624; Puzzle; Strategy; Education;20/09/2016;20/09/2016
1155269699;313815040; Board; Strategy;;31/10/2016;06/06/2018
1155292654;108523520; Strategy; Casual;;04/10/2016;10/02/2017
1155324155;507850752; Casual; Strategy; Entertainment;21/12/2016;07/01/2019
1155345049;37255168; Strategy; Casual; Entertainment;22/09/2016;22/09/2016
1155418498;30578688; Strategy; Entertainment; Puzzle;22/09/2016;29/12/2017
1155453617;377906176; Strategy; Simulation;;01/12/2016;27/06/2019
1155464927;87619584; Strategy;;;16/01/2017;16/01/2017
1155572113;25895936; Strategy; Entertainment; Word;20/09/2016;20/09/2016
1155655303;81920000; Productivity; Puzzle; Strategy;29/09/2016;06/01/2017
1155709932;132197376; Strategy; Entertainment; Action;26/06/2017;03/08/2017
1155751294;75145216; Strategy; Sports;;20/09/2016;20/09/2016
1155758254;71170048; Simulation; Strategy; Entertainment;20/09/2016;20/09/2016
1155794291;19002368; Casual; Strategy; Entertainment;08/11/2016;17/11/2016
1155872264;287166464; Strategy; Entertainment; Simulation;05/11/2016;03/07/2019
1155905318;158541824; Strategy; Simulation;;01/10/2016;01/06/2019
1155905343;92120064; Strategy; Travel; Simulation;23/09/2016;23/09/2016
1155929027;26727424; Strategy; Puzzle;;27/10/2016;27/10/2016
1155943369;24197120; Word; Lifestyle; Strategy;22/09/2016;22/09/2016
1155998751;115392512; Entertainment; Action; Strategy;28/09/2016;30/09/2016
1156021021;59777024; Strategy; Entertainment;;22/09/2016;22/09/2016
1156046252;235813888; Entertainment; Strategy; Casual;25/09/2016;07/07/2017
1156058830;316790784; Role Playing; Strategy; Entertainment;27/09/2016;14/02/2017
1156068976;173687808; Strategy; Action;;13/11/2016;04/12/2016
1156097394;109647872; Strategy;;;12/03/2017;12/03/2017
1156097394;109647872; Strategy;;;12/03/2017;12/03/2017
1156109319;450664448; Board; Strategy; Entertainment;29/11/2016;08/06/2017
